group,user
1,6191.0
1,8368.0
0,17494.0
0,28604.0
10,30127.0
10,12776.0
100,34210.0
100,27389.0
1000,34203.0
1000,280.0
10000,26703.0
10000,4076.0
10001,10812.0
10001,15300.0
10002,19428.0
10002,21170.0
10002,22461.0
10003,8563.0
10003,29559.0
10003,33372.0
10003,2545.0
10003,27639.0
10003,32026.0
10003,7986.0
10003,26885.0
10003,7747.0
10003,19537.0
10003,17372.0
10003,9816.0
10004,3911.0
10004,29909.0
10004,4365.0
10004,12356.0
10004,360.0
10004,23449.0
10004,8749.0
10004,16778.0
10004,16367.0
10004,7747.0
10004,30690.0
10004,21465.0
10004,6351.0
10005,15720.0
10005,20133.0
10006,33372.0
10006,31767.0
10007,11095.0
10007,524.0
10007,9473.0
10007,18720.0
10007,32777.0
10008,32752.0
10008,32788.0
10008,21109.0
10008,30524.0
10008,16327.0
10008,30690.0
10008,6407.0
10008,20462.0
10009,17008.0
10009,25000.0
1001,449.0
1001,1248.0
10010,21146.0
10010,2375.0
10010,5750.0
10010,9327.0
10010,15456.0
10010,25085.0
10011,15812.0
10011,30454.0
10012,4989.0
10012,10545.0
10013,30413.0
10013,27639.0
10014,24884.0
10014,895.0
10015,33099.0
10015,14565.0
10015,25111.0
10015,5146.0
10015,33359.0
10015,33836.0
10015,17372.0
10015,14106.0
10015,19945.0
10016,2723.0
10016,29823.0
10017,8903.0
10017,4716.0
10018,21333.0
10018,31781.0
10018,21718.0
10018,14375.0
10018,20697.0
10018,26369.0
10018,33685.0
10018,15363.0
10018,10098.0
10018,5964.0
10018,31712.0
10018,12581.0
10018,8976.0
10018,20886.0
10018,31107.0
10018,7747.0
10018,33586.0
10018,17146.0
10018,26796.0
10018,9567.0
10018,18889.0
10018,6400.0
10018,29844.0
10018,20718.0
10018,15462.0
10018,23215.0
10018,20136.0
10018,6406.0
10018,20243.0
10018,15078.0
10018,23239.0
10018,25758.0
10018,25494.0
10018,12169.0
10018,17554.0
10018,18272.0
10018,9777.0
10018,20072.0
10018,28486.0
10018,25049.0
10018,22279.0
10018,18427.0
10018,10173.0
10018,9483.0
10018,25223.0
10018,6679.0
10018,4922.0
10018,18022.0
10018,34428.0
10019,7192.0
10019,23310.0
1002,31000.0
1002,17537.0
1002,1521.0
10020,20566.0
10020,8585.0
10021,13531.0
10021,13421.0
10022,24219.0
10022,30546.0
10023,27825.0
10023,33735.0
10024,2355.0
10024,26976.0
10025,5111.0
10025,30524.0
10026,2545.0
10026,23480.0
10026,11159.0
10026,8675.0
10026,7747.0
10026,4908.0
10026,9367.0
10026,4163.0
10026,32798.0
10026,11045.0
10026,6863.0
10026,28171.0
10026,27331.0
10026,11896.0
10026,16778.0
10026,23204.0
10026,32387.0
10026,11400.0
10026,2677.0
10026,25049.0
10026,18087.0
10026,191.0
10026,31568.0
10026,11450.0
10027,12584.0
10027,6220.0
10028,18571.0
10028,17202.0
10029,2348.0
10029,18340.0
1003,30375.0
1003,4468.0
10030,9572.0
10030,28254.0
10031,10796.0
10031,17328.0
10031,9717.0
10031,4744.0
10032,13484.0
10032,20410.0
10032,10526.0
10032,20887.0
10032,14609.0
10032,11881.0
10032,18850.0
10032,33184.0
10032,24445.0
10033,21955.0
10033,29114.0
10033,28640.0
10033,27956.0
10034,2261.0
10034,14576.0
10035,19545.0
10035,2309.0
10036,9135.0
10036,33047.0
10036,34094.0
10036,2367.0
10037,8718.0
10037,3995.0
10038,4882.0
10038,9140.0
10039,5041.0
10039,19748.0
1004,16962.0
1004,7627.0
1004,18239.0
10040,24800.0
10040,8278.0
10040,32804.0
10041,9721.0
10041,31291.0
10041,26432.0
10042,11387.0
10042,23314.0
10043,27678.0
10043,14696.0
10043,29452.0
10044,15576.0
10044,32573.0
10045,29084.0
10045,18915.0
10046,31184.0
10046,23486.0
10047,26224.0
10047,30206.0
10048,31344.0
10048,31193.0
10049,8885.0
10049,10055.0
1005,11441.0
1005,31173.0
1005,16881.0
1005,8263.0
1005,21109.0
1005,26045.0
1005,23814.0
1005,15337.0
1005,14197.0
1005,25665.0
10050,2598.0
10050,6289.0
10050,12356.0
10050,4419.0
10051,29719.0
10051,23745.0
10051,2545.0
10051,513.0
10052,16313.0
10052,4175.0
10052,2677.0
10053,8749.0
10053,21545.0
10053,24435.0
10054,21623.0
10054,33800.0
10055,20314.0
10055,22793.0
10055,10745.0
10055,9984.0
10055,22191.0
10055,29502.0
10055,660.0
10055,4375.0
10055,17213.0
10055,17494.0
10055,31105.0
10055,20746.0
10055,8871.0
10056,10393.0
10056,3797.0
10057,16420.0
10057,10152.0
10057,12814.0
10058,28199.0
10058,32822.0
10059,2355.0
10059,26976.0
10059,7022.0
1006,9655.0
1006,11034.0
10060,11085.0
10060,12718.0
10060,28514.0
10060,25448.0
10060,5922.0
10060,18657.0
10060,30550.0
10060,23565.0
10060,2229.0
10060,4507.0
10060,14354.0
10060,2914.0
10060,23739.0
10060,364.0
10060,11406.0
10060,26878.0
10060,9908.0
10060,8749.0
10060,4789.0
10060,12356.0
10060,25701.0
10060,28604.0
10060,34196.0
10060,11373.0
10060,7721.0
10061,27413.0
10061,843.0
10062,21185.0
10062,19785.0
10062,7022.0
10062,2852.0
10062,32236.0
10062,1308.0
10062,21824.0
10062,30724.0
10062,24629.0
10062,32798.0
10062,4336.0
10062,25181.0
10062,20087.0
10062,21987.0
10062,18972.0
10062,29564.0
10062,21588.0
10062,3544.0
10062,14306.0
10062,6847.0
10062,7617.0
10062,16251.0
10062,22268.0
10062,24672.0
10063,6290.0
10063,29336.0
10064,19965.0
10064,23357.0
10065,23565.0
10065,24677.0
10066,17642.0
10066,8749.0
10066,32382.0
10067,3063.0
10067,29076.0
10068,8587.0
10068,24639.0
10068,31372.0
10068,11823.0
10069,15417.0
10069,15804.0
1007,32657.0
1007,15129.0
10070,23565.0
10070,7830.0
10070,21008.0
10070,32777.0
10070,4365.0
10070,12356.0
10070,15858.0
10070,23449.0
10070,9144.0
10070,8749.0
10070,14085.0
10070,12854.0
10070,16498.0
10070,23739.0
10070,14106.0
10070,2971.0
10070,11406.0
10071,16078.0
10071,1233.0
10072,21973.0
10072,10074.0
10073,16016.0
10073,23435.0
10073,28015.0
10074,27768.0
10074,22247.0
10075,28614.0
10075,28517.0
10076,11167.0
10076,23565.0
10076,22459.0
10076,31665.0
10076,21146.0
10076,11988.0
10076,19838.0
10076,25085.0
10077,2854.0
10077,2375.0
10078,8846.0
10078,26081.0
10079,29018.0
10079,29381.0
1008,19764.0
1008,26500.0
10080,3530.0
10080,6499.0
10080,27449.0
10081,4346.0
10081,26516.0
10082,9316.0
10082,4643.0
10082,28434.0
10083,19236.0
10083,4723.0
10084,33990.0
10084,4787.0
10085,23639.0
10085,9897.0
10086,13388.0
10086,14258.0
10087,29153.0
10087,13955.0
10087,22538.0
10087,17781.0
10088,4365.0
10088,19915.0
10088,26885.0
10088,12465.0
10088,1918.0
10088,1311.0
10088,13068.0
10088,21915.0
10088,17869.0
10088,33167.0
10088,20718.0
10088,7448.0
10088,24435.0
10088,23614.0
10088,2781.0
10088,27235.0
10088,8264.0
10088,14192.0
10088,143.0
10088,1354.0
10088,11050.0
10088,3841.0
10088,31550.0
10088,11498.0
10088,14715.0
10088,4784.0
10089,31004.0
10089,421.0
1009,29153.0
1009,22538.0
10090,2811.0
10090,34234.0
10090,31701.0
10091,23863.0
10091,9147.0
10091,13551.0
10092,13390.0
10092,33848.0
10092,17752.0
10092,18191.0
10092,14463.0
10092,32537.0
10092,11465.0
10092,24790.0
10092,25301.0
10092,12685.0
10092,8307.0
10092,18056.0
10092,1361.0
10092,18436.0
10092,7266.0
10092,26363.0
10092,32232.0
10092,29564.0
10092,6957.0
10092,22653.0
